"cross_space","cross_run","p_obs","comm_stat","(0,0.33]","(0.33,0.66]","(0.66,1]","land_het","d","hp"
"mean","97.5%",0.4,"abun",1.4114013671875,3.79560546875,35.6721923828125,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.5,"rich",1.0537841796875,1.9589599609375,9.105126953125,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.5,"abun",1.42861328125,3.92529296875,45.653955078125,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.6,"rich",1.0507568359375,1.92392578125,9.72529296875,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.6,"abun",1.436474609375,4.04140625,55.5310302734375,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.7,"rich",1.0085205078125,1.8858154296875,10.2737060546875,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.7,"abun",1.422412109375,4.03984375,65.3486083984375,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.8,"rich",0.9848876953125,1.8472900390625,10.6972412109375,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.8,"abun",1.4410888671875,4.10361328125,75.332373046875,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.9,"rich",0.980224609375,1.8200439453125,11.06962890625,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.9,"abun",1.4310791015625,4.2280029296875,85.184228515625,0.000977517106549364,"g1","0.5"
"mean","97.5%",1,"rich",0.9780517578125,1.8314208984375,11.40380859375,0.000977517106549364,"g1","0.5"
"mean","97.5%",1,"abun",1.4646240234375,4.3808837890625,95.079296875,0.000977517106549364,"g1","0.5"
"var","2.5%",0.1,"rich",1.03986386833303,1.65844788611926,1.00581403118891,0.000977517106549364,"g1","0.5"
"var","2.5%",0.1,"abun",1.68004378302939,4.66379351573955,6.80280616141251,0.000977517106549364,"g1","0.5"
"var","2.5%",0.2,"rich",0.994218139051808,1.62795928030303,1.74662310319679,0.000977517106549364,"g1","0.5"
"var","2.5%",0.2,"abun",1.75547636298723,5.87667476173021,15.6129317924074,0.000977517106549364,"g1","0.5"
"var","2.5%",0.3,"rich",0.950572358221835,1.68790048131262,2.33453177026057,0.000977517106549364,"g1","0.5"
"var","2.5%",0.3,"abun",1.92171913661565,6.71767494596927,22.2686097444327,0.000977517106549364,"g1","0.5"
"var","2.5%",0.4,"rich",0.914947635057735,1.64133076448711,2.75940127554527,0.000977517106549364,"g1","0.5"
"var","2.5%",0.4,"abun",1.95713694881018,7.76929290860979,27.2145802785924,0.000977517106549364,"g1","0.5"
"var","2.5%",0.5,"rich",0.884832041750672,1.68923936472843,2.9649539115958,0.000977517106549364,"g1","0.5"
"var","2.5%",0.5,"abun",1.99339018492638,9.17878565932765,30.8504004574475,0.000977517106549364,"g1","0.5"
"var","2.5%",0.6,"rich",0.842056456385936,1.72885181356152,3.09013607439058,0.000977517106549364,"g1","0.5"
"var","2.5%",0.6,"abun",2.13218551441838,10.1646909174914,31.2259160404448,0.000977517106549364,"g1","0.5"
"var","2.5%",0.7,"rich",0.842564116148888,1.66868107740714,3.31230755131965,0.000977517106549364,"g1","0.5"
"var","2.5%",0.7,"abun",2.12764356805199,11.1980981135065,30.2507993875244,0.000977517106549364,"g1","0.5"
"var","2.5%",0.8,"rich",0.816812124839626,1.62202076842009,3.33273498594819,0.000977517106549364,"g1","0.5"
"var","2.5%",0.8,"abun",2.18969320854716,12.2584268131797,28.363842558651,0.000977517106549364,"g1","0.5"
"var","2.5%",0.9,"rich",0.810972414734543,1.64535686533938,3.59038508350898,0.000977517106549364,"g1","0.5"
"var","2.5%",0.9,"abun",2.29960975684262,13.5961032960655,23.5842292077147,0.000977517106549364,"g1","0.5"
"var","2.5%",1,"rich",0.802003981663918,1.60945184582722,3.68803839809384,0.000977517106549364,"g1","0.5"
"var","2.5%",1,"abun",2.33504780669599,14.4520963159824,17.351795996762,0.000977517106549364,"g1","0.5"
"var","50%",0.1,"rich",1.17624852990591,1.90298047256843,1.08820707707111,0.000977517106549364,"g1","0.5"
"var","50%",0.1,"abun",1.90712346499267,5.31639622663123,7.460115583761,0.000977517106549364,"g1","0.5"
"var","50%",0.2,"rich",1.10011674838099,1.89604477868402,2.04383553274682,0.000977517106549364,"g1","0.5"
"var","50%",0.2,"abun",2.00293255131965,6.83765722369868,16.8422775193976,0.000977517106549364,"g1","0.5"
"var","50%",0.3,"rich",1.09912968520894,1.87746813523338,2.80162273567326,0.000977517106549364,"g1","0.5"
