"cross_space","cross_run","p_obs","trans_rich","trans_abun","core_rich","core_abun","land_het","d","hp"
"mean","2.5%",0.9,1.4613525390625,2.9436767578125,10.0408935546875,84.4536376953125,0.000977517106549364,"g1","0.7"
"mean","2.5%",1,1.55498046875,3.248876953125,10.198779296875,93.85576171875,0.000977517106549364,"g1","0.7"
"mean","50%",0.1,0.41845703125,0.4794921875,5.37841796875,9.5439453125,0.000977517106549364,"g1","0.7"
"mean","50%",0.2,0.755859375,0.9541015625,7.51220703125,19.01318359375,0.000977517106549364,"g1","0.7"
"mean","50%",0.3,1.021484375,1.4208984375,8.67724609375,28.5595703125,0.000977517106549364,"g1","0.7"
"mean","50%",0.4,1.26318359375,1.8974609375,9.40771484375,38.125,0.000977517106549364,"g1","0.7"
"mean","50%",0.5,1.44775390625,2.35986328125,9.90478515625,47.595703125,0.000977517106549364,"g1","0.7"
"mean","50%",0.6,1.61767578125,2.80078125,10.28759765625,57.203125,0.000977517106549364,"g1","0.7"
"mean","50%",0.7,1.7822265625,3.28271484375,10.5927734375,66.6875,0.000977517106549364,"g1","0.7"
"mean","50%",0.8,1.92138671875,3.7451171875,10.7890625,76.14111328125,0.000977517106549364,"g1","0.7"
"mean","50%",0.9,2.037109375,4.18310546875,10.9794921875,85.8125,0.000977517106549364,"g1","0.7"
"mean","50%",1,2.15283203125,4.6494140625,11.13916015625,95.32568359375,0.000977517106549364,"g1","0.7"
"mean","97.5%",0.1,0.5296142578125,0.599462890625,5.6396728515625,9.7384521484375,0.000977517106549364,"g1","0.7"
"mean","97.5%",0.2,0.9873779296875,1.2252197265625,8.0240478515625,19.4016845703125,0.000977517106549364,"g1","0.7"
"mean","97.5%",0.3,1.33701171875,1.8202880859375,9.336865234375,29.0759521484375,0.000977517106549364,"g1","0.7"
"mean","97.5%",0.4,1.6710205078125,2.44091796875,10.12138671875,38.84013671875,0.000977517106549364,"g1","0.7"
"mean","97.5%",0.5,1.9318359375,3.064794921875,10.7081298828125,48.4225341796875,0.000977517106549364,"g1","0.7"
"mean","97.5%",0.6,2.1252197265625,3.6343017578125,11.11787109375,57.947998046875,0.000977517106549364,"g1","0.7"
"mean","97.5%",0.7,2.3489501953125,4.254248046875,11.4549072265625,67.7313232421875,0.000977517106549364,"g1","0.7"
"mean","97.5%",0.8,2.53994140625,4.901171875,11.7093994140625,77.3386474609375,0.000977517106549364,"g1","0.7"
"mean","97.5%",0.9,2.6971923828125,5.506787109375,11.9209716796875,87.0694091796875,0.000977517106549364,"g1","0.7"
"mean","97.5%",1,2.8487060546875,6.1186767578125,12.0982421875,96.7369384765625,0.000977517106549364,"g1","0.7"
"var","2.5%",0.1,0.517424337884897,0.700647318701124,2.76107763624145,8.50318628574047,0.000977517106549364,"g1","0.7"
"var","2.5%",0.2,1.26858657135875,2.2610837218582,3.99423799486804,15.964447588282,0.000977517106549364,"g1","0.7"
"var","2.5%",0.3,2.15193806608168,4.5601166338282,4.97992970754674,23.2382055497006,0.000977517106549364,"g1","0.7"
"var","2.5%",0.4,3.03942441520803,7.38379300025202,5.37379137264785,28.925540020925,0.000977517106549364,"g1","0.7"
"var","2.5%",0.5,3.83812109088618,11.2198653384271,5.99267625855328,33.6093475789269,0.000977517106549364,"g1","0.7"
"var","2.5%",0.6,4.55350109111529,15.7461069235704,6.33070911992913,38.5667063067036,0.000977517106549364,"g1","0.7"
"var","2.5%",0.7,5.1926489329408,20.996857077262,6.62437523387861,41.4216899972507,0.000977517106549364,"g1","0.7"
"var","2.5%",0.8,6.04261229991447,27.4462558421921,6.85026232587976,43.4450419645039,0.000977517106549364,"g1","0.7"
"var","2.5%",0.9,6.57302854655425,34.4128013931528,7.00565468349065,42.6568972471056,0.000977517106549364,"g1","0.7"
"var","2.5%",1,7.20013428927633,41.526705189814,7.18112239296951,42.223350630804,0.000977517106549364,"g1","0.7"
"var","50%",0.1,0.704224706744868,0.95772238514174,3.08830015120968,9.17795154798998,0.000977517106549364,"g1","0.7"
"var","50%",0.2,1.712822847935,3.0176120135325,4.57052442265396,17.3044641220675,0.000977517106549364,"g1","0.7"
"var","50%",0.3,2.76139943410924,6.10162502672898,5.67825511287268,25.2921854953262,0.000977517106549364,"g1","0.7"
"var","50%",0.4,3.80861045561461,10.1961158014113,6.47847505422165,32.1383010103556,0.000977517106549364,"g1","0.7"
"var","50%",0.5,4.74162905516862,15.2079338304924,7.09487023078568,38.1259827674426,0.000977517106549364,"g1","0.7"
"var","50%",0.6,5.67164589442815,21.6633474996945,7.55490037726051,44.1074156700574,0.000977517106549364,"g1","0.7"
"var","50%",0.7,6.47186583577713,28.5759728395345,7.93681220598118,48.2617316371884,0.000977517106549364,"g1","0.7"
"var","50%",0.8,7.34656704392718,37.203482977456,8.257855934598,51.7572015518084,0.000977517106549364,"g1","0.7"
"var","50%",0.9,8.11605104090298,46.0360917644184,8.4955773078568,55.0907697183529,0.000977517106549364,"g1","0.7"
"var","50%",1,8.79276255498534,56.8604494096713,8.73094366675831,57.4428973454301,0.000977517106549364,"g1","0.7"
"var","97.5%",0.1,0.901715905272483,1.22986512841367,3.39159982034305,9.93110979216306,0.000977517106549364,"g1","0.7"
"var","97.5%",0.2,2.11100511000886,3.67794990129368,5.33490366110704,19.5465985459433,0.000977517106549364,"g1","0.7"
"var","97.5%",0.3,3.33485991626191,7.75901561449933,6.75027759958456,26.8564097772712,0.000977517106549364,"g1","0.7"
"var","97.5%",0.4,4.58855925529234,12.3378869736299,7.96025992027126,34.7262829196069,0.000977517106549364,"g1","0.7"
"var","97.5%",0.5,5.55352994409824,18.112732923998,8.88447256078934,42.2057803335777,0.000977517106549364,"g1","0.7"
"var","97.5%",0.6,6.74064640705187,26.2294127881003,9.34691148983535,49.2017064785328,0.000977517106549364,"g1","0.7"
"var","97.5%",0.7,7.89219418224585,34.9414462241493,9.90746404474432,56.4813534554848,0.000977517106549364,"g1","0.7"
"var","97.5%",0.8,8.81552579251436,45.3205165948802,10.2788184023323,58.5924843826369,0.000977517106549364,"g1","0.7"
